序号,单词,音标,词义
1,ability,ə'biliti,n.能力，才能
2,able,'eibl,adj．能够；有能力的
3,about,ə'baut,"prep．关于
adv．1.大约；2.到处,四处"
4,above,ə'bʌv,prep．在……上面
5,abroad,ə'brɔ:d,adv．到(在)国外
6,accept,ək'sept,v.接受
7,accident,'æksidənt,n．事故，意外的事
8,accurate,'ækjurət,adj．精确的
9,achieve ,əˈtʃiv,v．达到，获得
10,across ,"ə'krɔs, ə'krɔ:s",prep．横过，穿过
11,act ,ækt,v．表演，扮演(角色)；行动
12,active ,'æktiv,adj．积极的；活跃的
13,activity ,æk'tivəti,n．活动
14,actor ,'æktə,n.男演员
15,actress ,'æktris,n．女演员
16,actually,æktʃuəli,adv.实际地；现实地
17,add,æd,v．添加，增加
18,addition ,ə'diʃən,n．增加
19,address ,ˈædres,n．地址
20,advantage,"əd'vɑ:ntidʒ, əd'væn-","n.有利条件；优势, 优点"
21,advertisement ,"əd'və:tismənt, ,ædvə'taizmənt",n．广告
22,advice ,əd'vais,n．忠告，劝告；建议
23,afford    ,ə'fɔ:d,v.负担得起，抽得出（时间）
24,afraid ,ə'freid,adj．害怕的；担心的
25,Africa ,'æfrikə,n．非洲
26,after ,"'ɑ:ftə, 'æf-","prep．1.在……之后；2.在……后面
adv．在后；后来"
27,afternoon,",ɑ:ftə:'nu:n",n．下午
28,again ,əˈɡɛn,adv．再一次；再；又
29,against ,"ə'ɡenst, ə'ɡeinst",prep．对着，反对
30,age ,eidʒ,n．1.年龄  2.时代
31,aged ,'eidʒid,adj．有……年岁的；上年龄的
32,agent ,'eidʒənt,n．代理人
33,ago ,ə'ɡəu,adv．以前
34,agree,ə'gri:,v．同意；应允
35,ahead ,əˈhɛd,adv．在前，向前
36,aim ,eɪm,"n．目的；目标
v．打算；瞄准"
37,air ,εə,n．空气；大气
38,airline ,'εəlain,n．航线
39,airport ,'εəpɔ:t,n．机场
40,alarm ,əˈlɑ:m,n．警报
41,alive ,ə'laiv,adj．活着的，存在的
42,all ,ɔ:l,"adj．全（部）；总；整
adv．全部地
pron．全部；全体人员
n．全部；全体人员"
43,allow ,ə'lau,v．允许，准许
44,almost ,'ɔ:lməust,adv．几乎，差不多
45,alone ,ə'ləun,"adj．单独的
adv.单独地"
46,along ,ə'lɔŋ,"prep．沿着；顺着
adv．1.向前；2.和……一起；一同"
47,already ,ɔ:l'redi,adv．已经
48,also ,'ɔ:lsəu,adv．也
49,although ,ɔ:lˈðəu,conj.虽然；尽管(= though)
50,altogether ,",ɔ:ltə'ɡeðə",adv．总共；全部地
51,always ,"'ɔ:lweiz, -wiz",adv．总是；一直；永远
52,A.M., ,上午
53,amazing ,ə'meiziŋ,adj．令人惊讶的
54,ambition ,æm'biʃən,n．雄心；野心
55,America ,ə'merikə,n．美国；美洲
56,American ,əˈmerɪkən,adj．美国的；美洲的
57,among ,ə'mʌŋ,prep．在……中间；在（三个以上）之间；
58,amount ,ə'maunt,n．数量，总数
59,amusement,ə'mju:zmənt,n.娱乐；消遣；娱乐活动
60,amusing ,ə'mju:ziŋ,adj．引起乐趣的
61,ancient ,'einʃənt,adj．古代的，古老的
62,and ,"强 ænd, 弱 ənd, ən",conj．和；又；而
63,angrily,'æŋgrili,adv.生气地；愤怒地
64,angry,'æŋɡri,adj．生气的；愤怒的
65,animal ,'æniməl,n．动物
66,another ,ə'nʌðə,"adj．再一；另一；别的；不同的
pron．另一个"
67,answer,"'ɑ:nsə, 'æn-","n．回答；答复；答案；回（信）
v．回答；答复；回（信）"
68,any ,'eni,"adj．（用于疑问句，否定句，条件句）一些；什么；任何的；任一的
pron．（无论）哪一个；（无论）哪些"
69,anybody ,"'eni,bɔdi",pron．任何人，无论谁
70,anyone,'eniwʌn,pron．任何人，无论谁
71,anything ,'eniθiŋ,pron．什么事（物）；任何事（物）
72,anywhere,'enihwεə,adv．任何地方
73,apologize,ə'pɔlədʒaiz,v．道歉
74,appear ,əˈpɪə(r),v．出现
75,apple ,ˈæpl,n．苹果
76,April ,'eiprəl,n．四月
77,area ,'εəriə,n．1.面积；范围；2.地区
78,argue,'ɑɡju:,"v．争论, 争吵"
79,arm,ɑ:m,n．手臂
80,army ,'ɑ:mi,n．军队
81,around ,ə'raund,"adv．在周围；环绕
prep．在……周围"
82,arrange,ə'reindʒ,v．安排；布置
83,arrive,əˈraɪv,v．到达；达到
84,art ,ɑ:t,n．艺术
85,article ,'ɑ:tikəl,n．文章
86,artist ,'ɑ:tist,n．艺术家；画家
87,as ,æz,"conj．1. 像……（一样）；如同； 2. 因为 3. 当……时
prep．1. 作为；当作  2. 当……时；
adv．同样地"
88,Asia ,'eiʃə,n．亚洲
89,ask ,"ɑ:sk, æsk",v．1. 问，询问；2. 请求，要求
90,assistant ,ə'sistənt,n．助手，助理
91,at , æt,"prep．1. 在(几点钟)
2. 在（某处） 
3.（表示动作的目标和方向等） "
92,attack,ə'tæk,v．进攻，袭击
93,attend,ə'tend,v．出席，参加
94,attention,ə'tenʃən,n.注意，关心
95,attitude,"'ætɪtjuːd, -tuːd",n.态度
96,attract ,ə'trækt,v．吸引，引起
97,attractive,ə'træktiv,adj.有吸引力的
98,audience,ˈɔ:diəns,n.观众，听众
99,August ,'ɔːɡəst,n．八月
100,aunt ,"ɑ:nt, ænt",n．姑；姨；伯母；舅母；婶
101,Australia ,ɔ'streiljə,n．澳大利亚；澳洲
102,Australian ,ɔ:'streɪljən,"adj．澳大利亚的；澳洲的
n．澳大利亚人"
103,automatic ,",ɔ:tə'mætik",adj．自动的
104,autumn ,'ɔ:təm,n．秋天；秋季
105,average,ˈævərɪdʒ,"adj.平均的；普通的
n.平均数"
106,award ,ə'wɔ:d,"n．奖品，奖励
v．授予"
107,away ,ə'wei,adv．离开；远离
108,awful,ˈɔfəl,adj．可怕的
109,baby ,'beibi,n．婴儿
110,back , bæk,"adv．1. 回（原处）；2. 向后
n.1. 背后；后部 2. 背"
111,bad,bæd,"adj．1. 坏的；有害的，不利的；
2. 糟糕；可惜；
3. 严重的
（worse，worst)  "
112,bag ,[bæɡ],n．书包；提包；袋子
113,bakery,'beikəri,n.面包店
114,balance ,'bæləns,n．平衡
115,ball ,bɔ:l,n．球
116,balloon ,bə'lu:n,n．气球
117,banana ,"bə'nɑ:nə, -'næ-",n．香蕉
118,bank ,bæŋk,n．银行
119,bar ,bɑ:,n．酒吧
120,base ,beis,n．根据地；基地；基础
121,basic,'beisik,adj.基本的；基础的
122,basket ,"'bɑ:skit, 'bæs-",n．篮子
